year,province,health,social_media,sex,birth_year,immigrant,marital_status,education,emp_status,sector,social_class,life_satis
2020,CA-ON Ontario,Good,Daily,Female,1974,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,9
2020,CA-BC Colombie-Britannique,Good,Daily,Male,1960,I am born in this country,Widowed,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Upper middle class,8
2020,CA-NB Nouveau-Brunswick,Fair,Daily,Male,1953,I am born in this country,Married,Master or equivalent (ISCED 7),Part time (less than 30 hours a week),Private non-profit organization,Upper middle class,8
2020,CA-BC Colombie-Britannique,Fair,Never,Male,1952,I am born in this country,Divorced,Short-cycle tertiary education (ISCED 5),Part time (less than 30 hours a week),Private non-profit organization,Lower class,3
2020,CA-BC Colombie-Britannique,Very good,Never,Male,1964,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Upper middle class,10
2020,CA-ON Ontario,Fair,Daily,Male,1965,I am an immigrant to this country (born outside this country),Married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-QC Quebec,Good,Weekly,Male,1949,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Lower middle class,7
2020,CA-NL Terre-Neuve-et-Labrador,Fair,Daily,Male,1956,I am born in this country,Married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Government or public institution,Working class,7
2020,CA-NB Nouveau-Brunswick,Good,Weekly,Male,1946,I am born in this country,Married,Primary education (ISCED 1),Retired/pensioned,Private business or industry,Working class,9
2020,CA-ON Ontario,Good,Monthly,Male,1977,I am an immigrant to this country (born outside this country),Living together as married,Short-cycle tertiary education (ISCED 5),Self employed,Government or public institution,Upper class,5
2020,CA-QC Quebec,Fair,Never,Female,1977,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Other,Private business or industry,Lower class,7
2020,CA-MB Manitoba,Very good,Daily,Male,1995,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Private business or industry,Lower middle class,7
2020,CA-QC Quebec,Good,Daily,Female,1976,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,6
2020,CA-AB Alberta,Very good,Daily,Female,1945,I am born in this country,Married,Don't know,Retired/pensioned,Private business or industry,Working class,8
2020,CA-ON Ontario,Good,Less than monthly,Female,1953,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Upper middle class,8
2020,CA-PE Ile-du-Prince-Edouard,Good,Daily,Female,1992,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,Private business or industry,Upper middle class,7
2020,CA-AB Alberta,Good,Daily,Male,1985,I am born in this country,Married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Government or public institution,Lower middle class,7
2020,CA-QC Quebec,Fair,Monthly,Female,2002,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Private non-profit organization,Upper middle class,5
2020,CA-BC Colombie-Britannique,Good,Daily,Male,1966,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Working class,6
2020,CA-AB Alberta,Poor,Daily,Female,1962,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Self employed,Private business or industry,Working class,3
2020,CA-ON Ontario,Fair,Never,Female,1967,I am born in this country,Single,Upper secondary education (ISCED 3),Other,Private business or industry,Lower class,5
2020,CA-BC Colombie-Britannique,Good,Never,Male,1944,I am born in this country,Married,Master or equivalent (ISCED 7),Self employed,Government or public institution,Upper middle class,9
2020,CA-QC Quebec,Good,Weekly,Male,1980,I am an immigrant to this country (born outside this country),Married,Doctoral or equivalent (ISCED 8),Full time (30 hours a week or more),Private business or industry,Upper class,7
2020,CA-AB Alberta,Good,Less than monthly,Female,1950,I am born in this country,Separated,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Lower class,7
2020,CA-AB Alberta,Good,Daily,Male,1981,I am born in this country,Separated,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Government or public institution,Lower middle class,6
2020,CA-ON Ontario,Very good,Weekly,Female,2000,I am an immigrant to this country (born outside this country),Single,Post-secondary non-tertiary education (ISCED 4),Student,Private business or industry,Lower class,6
2020,CA-NB Nouveau-Brunswick,Good,Less than monthly,Male,1949,I am born in this country,Married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Upper middle class,9
2020,CA-MB Manitoba,Very good,Daily,Male,1952,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Upper middle class,10
2020,CA-ON Ontario,Good,Daily,Male,1943,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Lower middle class,8
2020,CA-BC Colombie-Britannique,Poor,Never,Male,1971,I am an immigrant to this country (born outside this country),Married,Post-secondary non-tertiary education (ISCED 4),Other,Private business or industry,Lower middle class,5
2020,CA-QC Quebec,Good,Daily,Male,1970,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,9
2020,CA-QC Quebec,Good,Daily,Female,1960,I am born in this country,Separated,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private non-profit organization,Working class,8
2020,CA-AB Alberta,Good,Daily,Female,1942,I am born in this country,Widowed,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Lower middle class,8
2020,CA-QC Quebec,Fair,Daily,Male,1954,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Lower middle class,6
2020,CA-SK Saskatchewan,Very good,Daily,Female,1965,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Lower middle class,9
2020,CA-BC Colombie-Britannique,Good,Daily,Female,1960,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Upper middle class,7
2020,CA-BC Colombie-Britannique,Fair,Weekly,Female,1999,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Private business or industry,Lower middle class,7
2020,CA-ON Ontario,Fair,Weekly,Female,1953,I am an immigrant to this country (born outside this country),Divorced,Post-secondary non-tertiary education (ISCED 4),Self employed,Private business or industry,Working class,7
2020,CA-QC Quebec,Very good,Never,Female,1942,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Upper class,9
2020,CA-QC Quebec,Good,Daily,Female,1989,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,8
2020,CA-BC Colombie-Britannique,Good,Daily,Male,1968,I am an immigrant to this country (born outside this country),Married,Post-secondary non-tertiary education (ISCED 4),Self employed,Private business or industry,Working class,8
2020,CA-NL Terre-Neuve-et-Labrador,Good,Less than monthly,Female,1961,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Upper middle class,8
2020,CA-QC Quebec,Fair,Daily,Female,1988,I am born in this country,Single,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper class,6
2020,CA-NB Nouveau-Brunswick,Good,Daily,Male,1966,I am born in this country,Married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Working class,7
2020,CA-QC Quebec,Good,Daily,Female,1944,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private non-profit organization,Upper middle class,8
2020,CA-MB Manitoba,Good,Weekly,Male,1960,I am an immigrant to this country (born outside this country),Married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Private business or industry,Lower middle class,8
2020,CA-ON Ontario,Good,Daily,Female,1970,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Student,Private non-profit organization,Lower middle class,8
2020,CA-SK Saskatchewan,Good,Daily,Male,1983,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,9
2020,CA-MB Manitoba,Good,Daily,Female,1996,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Private non-profit organization,Lower middle class,4
2020,CA-AB Alberta,Good,Less than monthly,Male,1975,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,4
2020,CA-ON Ontario,Fair,Daily,Female,1996,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Private business or industry,Working class,6
2020,CA-PE Ile-du-Prince-Edouard,Poor,Never,Female,1945,I am an immigrant to this country (born outside this country),Widowed,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Upper middle class,9
2020,CA-NL Terre-Neuve-et-Labrador,Fair,Never,Male,1997,I am born in this country,Single,Upper secondary education (ISCED 3),Student,Not applicable; Never had a job,Lower middle class,1
2020,CA-BC Colombie-Britannique,Poor,Daily,Female,1975,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Working class,4
2020,CA-NS Nouvelle-Ecosse,Fair,Never,Female,1953,I am born in this country,Married,Early childhood education (ISCED 0) / no education,Retired/pensioned,Private business or industry,Lower middle class,8
2020,CA-NB Nouveau-Brunswick,Good,Daily,Male,1957,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Upper middle class,8
2020,CA-NB Nouveau-Brunswick,Good,Daily,Male,1982,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Working class,7
2020,CA-BC Colombie-Britannique,Poor,Never,Male,1980,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Unemployed,Government or public institution,Lower middle class,1
2020,CA-BC Colombie-Britannique,Good,Never,Male,1958,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Lower middle class,8
2020,CA-QC Quebec,Very good,Daily,Female,1985,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Private business or industry,Lower middle class,9
2020,CA-ON Ontario,Fair,Never,Female,1958,I am born in this country,Widowed,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Working class,8
2020,CA-ON Ontario,Good,Less than monthly,Male,1986,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper middle class,8
2020,CA-AB Alberta,Very good,Daily,Male,1986,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper middle class,6
2020,CA-ON Ontario,Good,Daily,Female,1987,I am born in this country,Married,Doctoral or equivalent (ISCED 8),Full time (30 hours a week or more),Government or public institution,Working class,6
2020,CA-QC Quebec,Good,Daily,Female,1965,I am born in this country,Single,Upper secondary education (ISCED 3),Other,Not applicable; Never had a job,Lower class,8
2020,CA-ON Ontario,Good,Daily,Female,1954,I am an immigrant to this country (born outside this country),Widowed,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,7
2020,CA-NB Nouveau-Brunswick,Very good,Weekly,Female,1954,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Private non-profit organization,Upper middle class,9
2020,CA-AB Alberta,Fair,Monthly,Female,1989,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Self employed,Private business or industry,Lower class,7
2020,CA-BC Colombie-Britannique,Poor,Weekly,Female,1988,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Unemployed,Not applicable; Never had a job,Lower class,5
2020,CA-ON Ontario,Good,Daily,Female,1997,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,5
2020,CA-AB Alberta,Good,Daily,Female,1999,I am an immigrant to this country (born outside this country),Single,Post-secondary non-tertiary education (ISCED 4),Student,Private business or industry,Upper middle class,6
2020,CA-QC Quebec,Fair,Daily,Female,1979,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,6
2020,CA-AB Alberta,Good,Weekly,Male,1974,I am born in this country,Single,Primary education (ISCED 1),Part time (less than 30 hours a week),Private business or industry,Lower middle class,6
2020,CA-ON Ontario,Good,Daily,Female,1982,I am an immigrant to this country (born outside this country),Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,9
2020,CA-NS Nouvelle-Ecosse,Fair,Daily,Male,1958,I am born in this country,Separated,Lower secondary education (ISCED 2),Retired/pensioned,Private business or industry,Lower middle class,8
2020,CA-SK Saskatchewan,Fair,Never,Male,1975,I am born in this country,Single,Lower secondary education (ISCED 2),Other,Private business or industry,Lower class,2
2020,CA-QC Quebec,Poor,Daily,Female,1965,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Other,Not applicable; Never had a job,Lower class,4
2020,CA-NB Nouveau-Brunswick,Good,Weekly,Female,1997,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Government or public institution,Lower middle class,10
2020,CA-NB Nouveau-Brunswick,Good,Never,Male,1949,I am an immigrant to this country (born outside this country),Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Private business or industry,Upper middle class,9
2020,CA-BC Colombie-Britannique,Good,Daily,Male,1956,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Upper middle class,9
2020,CA-QC Quebec,Good,Daily,Male,1970,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,6
2020,CA-NB Nouveau-Brunswick,Fair,Daily,Male,1990,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Not applicable; Never had a job,Lower class,1
2020,CA-AB Alberta,Fair,Daily,Female,1983,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,4
2020,CA-NS Nouvelle-Ecosse,Very good,Daily,Female,1976,I am born in this country,Living together as married,Lower secondary education (ISCED 2),Full time (30 hours a week or more),Government or public institution,Working class,10
2020,CA-ON Ontario,Fair,Daily,Female,1964,I am born in this country,Divorced,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,8
2020,CA-NS Nouvelle-Ecosse,Fair,Daily,Male,1984,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-AB Alberta,Good,Daily,Male,1982,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Working class,7
2020,CA-ON Ontario,Good,Never,Female,1964,I am born in this country,Separated,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-BC Colombie-Britannique,Good,Never,Male,1939,I am born in this country,Married,Lower secondary education (ISCED 2),Retired/pensioned,Private business or industry,Working class,9
2020,CA-AB Alberta,Very good,Daily,Female,1971,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Self employed,Private business or industry,Working class,8
2020,CA-QC Quebec,Good,Daily,Male,1948,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Not applicable; Never had a job,Lower middle class,8
2020,CA-QC Quebec,Fair,Daily,Female,1970,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,Not applicable; Never had a job,Upper middle class,5
2020,CA-AB Alberta,Good,Weekly,Male,1995,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Unemployed,Private business or industry,Lower middle class,6
2020,CA-NB Nouveau-Brunswick,Poor,Never,Female,1981,I am born in this country,Single,Upper secondary education (ISCED 3),Unemployed,Private non-profit organization,Lower class,2
2020,CA-AB Alberta,Good,Weekly,Female,1965,I am born in this country,Divorced,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Not applicable; Never had a job,Upper middle class,7
2020,CA-AB Alberta,Fair,Daily,Female,2001,I am an immigrant to this country (born outside this country),Single,Upper secondary education (ISCED 3),Student,Not applicable; Never had a job,Lower middle class,4
2020,CA-QC Quebec,Very good,Daily,Male,2001,I am born in this country,Single,Lower secondary education (ISCED 2),Student,Not applicable; Never had a job,Upper middle class,7
2020,CA-ON Ontario,Good,Daily,Male,1981,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper class,8
2020,CA-QC Quebec,Good,Never,Male,1980,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private non-profit organization,Lower middle class,7
2020,CA-NL Terre-Neuve-et-Labrador,Good,Less than monthly,Female,1983,I am born in this country,Single,Lower secondary education (ISCED 2),Self employed,Private business or industry,Upper middle class,9
2020,CA-QC Quebec,Fair,Daily,Female,1983,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,6
2020,CA-BC Colombie-Britannique,Fair,Daily,Female,1972,I am born in this country,Married,Upper secondary education (ISCED 3),Other,Government or public institution,Lower middle class,5
2020,CA-QC Quebec,Good,Weekly,Male,1988,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Upper middle class,7
2020,CA-NB Nouveau-Brunswick,Good,Daily,Male,1972,I am born in this country,Separated,Upper secondary education (ISCED 3),Unemployed,Not applicable; Never had a job,Lower middle class,5
2020,CA-MB Manitoba,Fair,Never,Male,1969,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-QC Quebec,Good,Monthly,Female,1991,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Student,Private business or industry,Lower middle class,7
2020,CA-ON Ontario,Fair,Daily,Male,1960,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Working class,6
2020,CA-ON Ontario,Fair,Daily,Female,1994,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,8
2020,CA-QC Quebec,Fair,Daily,Female,1995,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,10
2020,CA-BC Colombie-Britannique,Good,Daily,Female,1993,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Student,Government or public institution,Lower middle class,6
2020,CA-MB Manitoba,Fair,Daily,Female,1989,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Self employed,Private business or industry,Lower middle class,7
2020,CA-NL Terre-Neuve-et-Labrador,Good,Daily,Female,1974,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Self employed,Private business or industry,Upper middle class,9
2020,CA-NS Nouvelle-Ecosse,Very good,Daily,Female,1976,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,Private business or industry,Upper middle class,9
2020,CA-MB Manitoba,Good,Never,Male,1964,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Unemployed,Private business or industry,Working class,6
2020,CA-BC Colombie-Britannique,Fair,Daily,Female,1977,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-NL Terre-Neuve-et-Labrador,Fair,Monthly,Female,1983,I am born in this country,Married,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Government or public institution,Lower middle class,5
2020,CA-ON Ontario,Very good,Never,Male,1948,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Government or public institution,Lower middle class,8
2020,CA-BC Colombie-Britannique,Good,Never,Male,1956,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Part time (less than 30 hours a week),Private non-profit organization,Lower middle class,7
2020,CA-ON Ontario,Good,Weekly,Female,1956,I am born in this country,Separated,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Lower class,7
2020,CA-ON Ontario,Fair,Daily,Male,1982,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Working class,6
2020,CA-QC Quebec,Very good,Daily,Female,1998,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Private business or industry,Lower middle class,5
2020,CA-BC Colombie-Britannique,Fair,Never,Male,1948,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Lower middle class,7
2020,CA-ON Ontario,Fair,Weekly,Female,1963,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,Private non-profit organization,Working class,5
2020,CA-AB Alberta,Good,Daily,Male,1934,I am born in this country,Widowed,Master or equivalent (ISCED 7),Retired/pensioned,Private business or industry,Upper middle class,10
2020,CA-NS Nouvelle-Ecosse,Fair,Daily,Male,1965,I am born in this country,Separated,Post-secondary non-tertiary education (ISCED 4),Self employed,Private business or industry,Working class,9
2020,CA-QC Quebec,Very good,Daily,Female,1993,I am born in this country,Living together as married,Doctoral or equivalent (ISCED 8),Student,Government or public institution,Upper class,8
2020,CA-ON Ontario,Very good,Daily,Female,1966,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Self employed,Private business or industry,Lower middle class,7
2020,CA-QC Quebec,Good,Daily,Female,1998,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Student,Private business or industry,Lower middle class,8
2020,CA-QC Quebec,Very good,Weekly,Male,1960,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Upper middle class,8
2020,CA-BC Colombie-Britannique,Good,Daily,Female,1988,I am an immigrant to this country (born outside this country),Married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Working class,4
2020,CA-NS Nouvelle-Ecosse,Good,Daily,Female,1996,I am an immigrant to this country (born outside this country),Living together as married,Bachelor or equivalent (ISCED 6),Student,Private business or industry,Lower middle class,8
2020,CA-MB Manitoba,Good,Monthly,Male,1977,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-AB Alberta,Good,Daily,Female,1985,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Unemployed,Private business or industry,Upper middle class,8
2020,CA-NL Terre-Neuve-et-Labrador,Good,Daily,Male,1961,I am born in this country,Married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Working class,7
2020,CA-NL Terre-Neuve-et-Labrador,Good,Daily,Male,1970,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Upper middle class,8
2020,CA-QC Quebec,Good,Monthly,Male,1978,I am an immigrant to this country (born outside this country),Married,Doctoral or equivalent (ISCED 8),Full time (30 hours a week or more),Not applicable; Never had a job,Lower middle class,5
2020,CA-AB Alberta,Good,Daily,Male,1986,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper class,9
2020,CA-QC Quebec,Good,Daily,Male,1974,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Lower middle class,6
2020,CA-QC Quebec,Good,Never,Male,1945,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Lower middle class,9
2020,CA-SK Saskatchewan,Good,Daily,Female,1984,I am an immigrant to this country (born outside this country),Married,Lower secondary education (ISCED 2),Self employed,Private business or industry,Lower middle class,7
2020,CA-ON Ontario,Poor,Never,Female,1950,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Self employed,Private business or industry,Working class,8
2020,CA-NS Nouvelle-Ecosse,Good,Never,Male,1955,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Upper middle class,8
2020,CA-QC Quebec,Good,Daily,Male,1952,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Upper middle class,9
2020,CA-QC Quebec,Fair,Daily,Female,1998,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Lower middle class,5
2020,CA-QC Quebec,Fair,Daily,Male,1990,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Upper middle class,7
2020,CA-MB Manitoba,Good,Weekly,Male,1976,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,10
2020,CA-ON Ontario,Very good,Never,Male,1964,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Upper middle class,10
2020,CA-ON Ontario,Good,Monthly,Male,1964,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private non-profit organization,Upper middle class,7
2020,CA-ON Ontario,Good,Weekly,Male,1990,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,6
2020,CA-QC Quebec,Good,Daily,Female,1986,I am born in this country,Living together as married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Not applicable; Never had a job,Upper middle class,6
2020,CA-ON Ontario,Poor,Weekly,Male,1954,I am born in this country,Married,Master or equivalent (ISCED 7),Retired/pensioned,Private business or industry,Upper middle class,5
2020,CA-ON Ontario,Good,Daily,Female,1965,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Lower middle class,7
2020,CA-SK Saskatchewan,Good,Weekly,Male,1976,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private non-profit organization,Upper middle class,8
2020,CA-MB Manitoba,Good,Never,Male,1947,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Private business or industry,Upper middle class,9
2020,CA-BC Colombie-Britannique,Fair,Daily,Female,1976,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Self employed,Private non-profit organization,Upper middle class,5
2020,CA-BC Colombie-Britannique,Good,Daily,Female,2000,I am born in this country,Single,Upper secondary education (ISCED 3),Student,Private business or industry,Upper middle class,5
2020,CA-BC Colombie-Britannique,Poor,Daily,Male,1972,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Unemployed,Government or public institution,Lower class,2
2020,CA-QC Quebec,Good,Weekly,Female,1960,I am born in this country,Married,Upper secondary education (ISCED 3),Self employed,Not applicable; Never had a job,Lower middle class,8
2020,CA-BC Colombie-Britannique,Fair,Daily,Female,2000,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Private business or industry,Lower middle class,7
2020,CA-SK Saskatchewan,Very good,Weekly,Female,1975,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,9
2020,CA-BC Colombie-Britannique,Fair,Daily,Male,1980,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Other,Private business or industry,Lower middle class,6
2020,CA-QC Quebec,Very good,Less than monthly,Male,1951,I am born in this country,Married,Lower secondary education (ISCED 2),Retired/pensioned,Private business or industry,Working class,8
2020,CA-NS Nouvelle-Ecosse,Good,Daily,Female,1954,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Upper middle class,10
2020,CA-ON Ontario,Poor,Daily,Male,1995,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Student,Not applicable; Never had a job,Lower middle class,3
